1;Andorra;44
2;Australia;101
3;Austria;76
4;Argentina;862
5;Belgium;262
6;Bosnia and Herzegovina;25
7;Brazil;326
8;Bulgaria;257
9;Canada;1137
10;Chile;239
11;China;687
12;Croatia;127
13;Czech Republic;128
14;Denmark;243
15;Egypt;210
16;Estonia;47
17;Finland;430
18;France;468
19;Germany;5700
20;Greece;144
21;Hungary;346
22;Iceland;107
23;India;319
24;Italy;144
25;Japan;684
26;Latvia;77
27;Luxembourg;12
28;Mexico;401
29;Montenegro;21
30;Netherlands;352
31;New Zealand;20
32;Norway;48
33;Philippines;146
34;Poland;944
35;Portugal;156
36;Puerto Rico;78
37;Romania;198
38;Russian;1117
39;Serbia;24
40;Slovakia;141
41;Slovenia;16
42;Spain;453
43;Sweden;152
44;Switzerland;162
45;Turkey;81
46;Ukraine;459
47;United Arab Emirates;21
48;United Kingdom;69
49;United States;50
